Time    ,  PhyWrs,  PhyWrs*8192,Disk Write Bytes/sec
 10:41:43,0,0,0
 10:41:44,0,0,10855.95226
 10:41:45,0,0,0
 10:41:46,0,0,0
 10:41:47,24963,204496896,169767601.2
 10:41:48,26688,218628096,215933523
 10:41:49,27200,222822400,220428043.2
 10:41:50,12768,104595456,100020608.8
 10:41:51,0,0,0
 10:41:52,0,0,0
 10:41:53,0,0,0
 10:41:54,0,0,11389.00861
 10:41:55,0,0,0
 10:41:56,8256,67633152,149939938.8
 10:41:57,26560,217579520,214319452.2
 10:41:58,26816,219676672,217313711.7
 10:41:59,26688,218628096,141640887.7
 10:42:00,3299,27025408,0
 10:42:01,0,0,0
 10:42:02,0,0,0
 10:42:03,0,0,3995.477775
 10:42:04,0,0,11862.17634
